scientificName,taxon_group,vernacularName,stateConservation,countryConservation,n_records,year_min,year_max,is_threatened,is_sensitive
Crepidotus spp.,Agaricomycetes,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Crocosmia x crocosmiiflora,Flora,Montbretia,Not Listed,Not Listed,1,1992.0,1992.0,False,False
Cryptostylis subulata,Flora,Large Tongue Orchid,Not Listed,Not Listed,1,1943.0,1943.0,False,False
Cyathea leichhardtiana,Flora,Prickly Treefern,Not Listed,Not Listed,1,2001.0,2001.0,False,False
Cycnogeton procerum,Flora,Water Ribbons,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Cynodon dactylon,Flora,Common Couch,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Cytisus scoparius subsp. scoparius,Flora,English Broom,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Delias nigrina,Insecta,common jezabel,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Delias nysa,Insecta,Yellow-spotted Jezebel,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Dendrelaphis punctulatus,Reptilia,Common Tree Snake,Not Listed,Not Listed,1,2020.0,2020.0,False,False
Dennstaedtia davallioides,Flora,Lacy Ground Fern,Not Listed,Not Listed,1,1990.0,1990.0,False,False
Dictyopanus pusillus,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Dodonaea viscosa,Flora,Sticky Hop-bush,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Dracophyllum secundum,Flora,,Not Listed,Not Listed,1,1909.0,1909.0,False,False
Ehrharta erecta,Flora,Panic Veldtgrass,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Eleocharis sphacelata,Flora,Tall Spike Rush,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Empodisma minus,Flora,,Not Listed,Not Listed,1,1948.0,1948.0,False,False
Entoloma spp.,Agaricomycetes,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Eolophus roseicapilla x Lophochroa leadbeateri,Aves,Galah/Pink Cockatoo,Not Listed,Not Listed,1,2025.0,2025.0,False,False
Eopsaltria australis australis,Aves,,Not Listed,Not Listed,1,2004.0,2004.0,False,False
Equus caballus,Mammalia,Horse,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Eragrostis trachycarpa,Flora,,Not Listed,Not Listed,1,1987.0,1987.0,False,False
Erigeron karvinskianus,Flora,Bony-tip Fleabane,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Eucalyptus ovata,Flora,Swamp Gum,Not Listed,Not Listed,1,1917.0,1917.0,False,False
